,Unnamed: 0,OverallRating,ReviewHeader,Name,Datetime,VerifiedReview,ReviewBody,TypeOfTraveller,SeatType,Route,DateFlown,SeatComfort,CabinStaffService,GroundService,ValueForMoney,Recommended,Aircraft,Food&Beverages,InflightEntertainment,Wifi&Connectivity
1713,1713,7.0,"""attendants were very attentive""",Antony Vaughn,19th April 2017,False,"New York JFK to London Heathrow return. My review is based on three different criteria: Service, food, and seat comfort. Overall the service was very good. The flight attendants were very attentive throughout the flight, and very professional. Any request was handled in a timely manner. The flight was full, but service did not suffer. The food on the flight was absolutely disgusting and inedible. A choice of thai vegatable curry, or a chicken dish which I ate one bite of. The highlight of the meal was the two bite chocolate granache. Also, they have eliminated the second meal/snack service - all they served was tea/coffee and a cookie. Very poor indeed. Seat comfort was the best I've experienced in economy. I managed 4 hours of sleep on a 7 hour crossing. The slideable headrests allow your head not to bob. If not for the disgusting food i would give a 9/10.",Family Leisure,Economy Class,London to New York JFK,April 2017,5.0,4.0,4.0,4.0,yes,Boeing 747-400,1.0,4.0,
349,349,6.0,"""cabin crew seemed to really struggle with service""",Nigel Forfar,30th June 2022,True,"Departure was about 40 minutes late. The A350 we flew on was about eighteen months old. The seating spacing in economy class seems very tight and if the seat in front is fully tilted back, it is a real challenge to get out of the seat. The screen becomes so close to your face it becomes difficult to focus on the screen. Audio was so poor due to music drowning the conversation, I gave up trying to watch. The cabin crew seemed to really struggle with service, it felt very disorganised. Felt sorry for the cabin crew they seemed to be working hard and there seems to be a lot of up and down the aisles on this type of aircraft - felt unnatural. The overhead bins are very high and many passengers had difficulty accessing their belongings during the flight. I tried using the overhead attendant light to verify my wife's meal but no one responds - better to stop a flight attendant in the aisle. Nice aircraft for a two hour flight but no fun for close to eleven hours. I am going to explore other options before using BA again, the hassle to make contact with anybody before the flight puts you off before you even go to the airport.",Couple Leisure,Economy Class,London Heathrow to Johannesburg,June 2022,1.0,3.0,2.0,4.0,no,A350,3.0,2.0,
925,925,10.0,"""treat customers with care.""",Henry Goode,1st April 2019,True,"London to Seville. Following on from mistakenly booking a return flight with BA despite having a previous confirmed booking with a competitor, I quickly called up BA to resolve the issue. They understood the problem and gave me a full refund. The agent was exceptionally helpful on the phone and provided me a quick answer and solution to the problem. I don’t believe most airlines would have accepted my reasoning, however it’s great to see BA treat their customers with care.",Couple Leisure,Economy Class,London to Seville,March 2019,,,4.0,4.0,yes,,,,
3700,3700,4.0,British Airways customer review,Russ King,9th October 2011,False,SIN-LHR BA12 B747-436 First Class. Old aircraft (1998) with seats that are not that private but there are only a few of us in the cabin so ok. A bit tatty but I think the planes are being replaced by A380's soon. Seat itself is comfortable enough. Inflight Entertainment awful: fuzzy screen (low resolution LCD screen way passed it's sell-by date) with limited options. Inconveniently has to be pulled around to be seen and put away for t/off and landing. seat comfortable enough for sleeping. Food and service quintessentially English which is the only real reason to fly BA nowadays - the product just doesn't match other airlines. Toilet cramped and awful but it has a window!,,First Class,,,4.0,5.0,,2.0,no,,5.0,2.0,
3322,3322,1.0,British Airways customer review,Jamie Fenton,3rd November 2014,False,Terrible experience flying back from Munich. Flight delayed by several hours which meant arriving back into Heathrow T5 at gone midnight after most of the public transport links had ceased running. Nobody at BA available to help (despite them knowing the flight was several hours late arriving) which resulted in having to sleep at the airport floor overnight. Appalled that BA would do this - it was an unpleasant experience but I coped but what about elderly travellers? To make matters worse there was nobody available as a BA representative at Munich airport during the delay until I complained.,,Economy Class,,,4.0,1.0,,1.0,no,,2.0,1.0,
3477,3477,7.0,British Airways customer review,R Vines,26th August 2014,False,I flew from Gatwick to Rome and back on holiday and was pleasantly surprised by the standard of food and service. The salad on the outward flight was exceptional and the steward on the return leg (in a near-full cabin) was anticipating what passengers might want. BA food baffles me. I've flown First a few times in the past few years and the food was so bad I thought BA should pay compensation as well as refunding the flight ticket. In Business it is usually OK. The only letdown this time was the lounge at Gatwick. It was like a Ryanair holding pen.,,Business Class,,,2.0,4.0,,4.0,yes,,4.0,2.0,
3625,3625,9.0,British Airways customer review,James Little,1st June 2014,False,LHR-Warsaw. Economy on an A320. Plane seemed brand new. Was seated in 8C towards the front of Economy and that's obviously a seat that gets configured for Club Europe from time to time as the seat pitch was pretty generous. Complimentary breakfast consisting of coffee and a filled croissant was perfectly OK. Service efficient. Flight left and landed on time. Textbook stuff really. No complaints at all.,,Economy Class,,,5.0,4.0,,4.0,yes,,3.0,1.0,
2428,2428,8.0,"""not overwhelming First Class""",Clive Drake,2nd February 2016,False,"London to Singapore with British Airways, and the plane left 90 minutes late due to technical fault with one of their aging 747-400 that found itself minus two wheels stuck on the runway. First class was full. One would think BA would put themselves out on this route given the competition from Singapore Airlines. Wrong - the champagne was lukewarm (as is often the case). The amuse bouche taster was ghastly. Some sort of couscous and tasteless. Appetiser of sushi style salmon was very nice. Soup nice but lukewarm. Salad was forgotten by the miserable female FA. Mains of sea bass was very good. My wife had the same - but the beef main. She was very complimentary of the meal. White wine was luke warm. Solution - the miserable FA came back with a paper cup of ice cubes and dumped the lot in my glass. Brilliant. Wash bag of freebies was cheap and tacky. The seat - well I am very critical of this design. So much space is wasted with the ""island"" console in the middle. The designer of this seat should find another career. Seats already starting to show wear and tear. Why British Airways opted for a canvas material rather than leather is a mystery. In summary, the A380 is fabulous. Slept for about 5 hours. Great flight. FAs mostly were fine. Terrific landing by a very skilled pilot. All in all - it was okay - but not overwhelming as First Class should be.",Couple Leisure,First Class,LHR to SIN,January 2016,3.0,4.0,3.0,3.0,no,A380,4.0,3.0,
2628,2628,5.0,"""seats are just the same""",Craig Cutts,23rd October 2015,False,"London Heathrow to Amsterdam, check in on line and bag drop quick and easy, used Galleries North Lounge at T5. It was fairly busy but able to find a seat. Boarding the full flight orderly and quick seat 2A. Cabin crew fine, a simple meal served on the 50 min flight. Arrival more or less on time, however the bags seemed to take forever - 50 min. Having used the same route 2 weeks previously in economy, I must say for the difference in fare I feel British Airways have really missed a trick! Seats are just the same, the meal nothing special added to the change in the Executive club Avious accrual. I really think apart from the one business class I've already booked, I won't bother in future with British Airways Club Europe. Instead I'll look for the most convenient and cheapest ticket when flying in Europe.",Solo Leisure,Business Class,LHR to AMS,October 2015,3.0,4.0,4.0,2.0,no,A320,2.0,2.0,
494,494,2.0,"""Their customer service is a shambles""",Hollie Thomas,7th November 2021,False,Currently dreading my flight with BA considering they have hung up on me and mum on the customer service line twice now and will not reply via the so called “Live Chat”. All we wanted to find out was how there were two flights booked under my mums name plus a flight for my dad and not one for me. We just wanted to be able to make a name change. Absolutely impossible. Their website is unusable. Their customer service is a shambles. They couldn’t change the name. Told me that we should’ve done the booking more carefully. Well you’re going to have these people making mistakes. So maybe change your website so that we can make changes to our flights. Like hello it’s the 21st century. You should have a button saying “Change name”. Anyways not the point. The woman on the phone started raising her voice at us because she wasn’t making it clear on what to do. Then when I gave up towards the end of the call I just said “thanks for your help I’ll deal with it la-“ got cut off. 50 minutes and got nothing. All I can say is good luck.,Solo Leisure,Premium Economy,Gibraltar to London,November 2021,4.0,4.0,1.0,3.0,no,,,,
97,97,2.0,"""The service is really mediocre""",K Malec,20th July 2023,True,"I don't understand why British Airways is classified as a 4 star airline? The service is really mediocre. The food is untasty and insufficient for a long haul trip. Some members of the cabin crew are friendly but they are not attentive enough and create a very basic experience. This really is all about getting from point A to B without what it used to be an enjoyable trip making experience. The inflight entertainment is fairly good, but you do need to bring your own water not to get dehydrated, some snacks and ideally food and perhaps smile to yourself as otherwise you are faced with just a cold, personality less experience. ",Solo Leisure,Economy Class,Seattle to London Heathrow,June 2023,2.0,2.0,3.0,3.0,no,Boeing 787,1.0,3.0,
3663,3663,10.0,British Airways customer review,Colin Pay,11th May 2014,False,Rating : 10/10 Cabin Flown Economy Value for Money Seat Comfort Staff Service Catering Entertainment Recommended,,Economy Class,,,5.0,5.0,,5.0,yes,,5.0,1.0,
2828,2828,3.0,British Airways customer review,C Lindsay,1st August 2015,False,"We flew Business Class to Vienna on the 28/7/15, Terminal 3 is a dismal place and the lounge reflected this. There was very poor food choices and everything was tired including the staff. The outward journey was okay, flight attendant was pleasant. I think the meal choices could be improved - these tickets are not cheap. However the return flight (31/7/15) which was in economy - also not cheap, was not good at all. The attitude of the staff was really below par. The food choice was an iced bun and a chicken/bacon bun. Seeing the choice I asked for the vegetarian option-Couscous with a few slices of pepper - all of which were tasteless.  When asked would I like a drink I replied - Bloody Mary. I should have known better, as this was the attendant who having to do a live safety demo chewed and smirked the whole way through, produced the drink without any WS. I asked if I could have some and then watched him add a good 1cm to the drink - turning the tomato juice a dark brown. BA need to remember we as the customers pay their wages.",Business,Economy Class,London to Vienna,July 2015,3.0,1.0,4.0,2.0,no,,1.0,1.0,
3054,3054,7.0,British Airways customer review,A Bouzid,10th April 2015,False,Flew 30th March 2015 LHR-YVR return with my school on a rugby tour (27 people). Seats were reasonably comfortable and they catered to my food requests of no pork well. Enjoyed it. But the IFE was absolutely horrendous and did not meet my expectations of British Airways- outdated movies with TV shows from 3 months before. Since we were flying on a Boeing 747-400 there were more seats per aisle but this made the cabin feel quite cramped. One recommendation for them - put fewer seats per aisle! Even though there were negatives flying outbound I have to say the return was great. I had swapped seats with another boy who wanted to sit next to someone so I sat in the extra legroom seats. IFE was far better and due to having the window seat I was able to sleep for around 6 hours when I was awoke by the breakfast/snack which was decent. Food had no flavour and was quite spicy (Lentil masala) but still edible. Although my experience on BA84 was very enjoyable I heard many of my companions had to move seats because of the not working IFE. One of my coaches had ordered orange juice so the cabin crew gave it to him as they were serving but then the other one would take it away for some reason and in the end they said they had none left. He had flown with Cathay Pacific to Manila the preceding week and he said that he had enjoyed that thoroughly. One of his worst experiences of air travel especially due to him being 6'4 and rather large. Overall a decent experience but just met my expectations. To improve British Airways need to start to be able to compete with other airlines like Singapore Emirates Etihad Cathay Pacific and Qantas as there service and level of comfort has definitely taken over from BA.,,Economy Class,,,4.0,4.0,,3.0,yes,,4.0,2.0,
338,338,5.0,"""Seat was very uncomfortable""",J Tydeman,18th July 2022,False,Reasonably smooth boarding. Meal service was smooth ad efficient but no ice or spirits available as no room on the trolley - could they have offered to serve this afterwards? Seat was very uncomfortable indeed on this aircraft so got little if any sleep on the long overnight flight. Cabin crew spent much of the time between meals talking loudly at the rear galley meaning we couldn't sleep even if the seats were comfortable. This was so disrespectful and inconsiderate.,Couple Leisure,Economy Class,Sao Paulo to Heathrow ,July 2022,1.0,2.0,3.0,3.0,yes,A350-1000,3.0,1.0,
1692,1692,10.0,"""friendly and efficient crew""",M Davies,27th April 2017,False,"Heathrow to San Francisco. Upper deck in Economy, great service, friendly and efficient crew.  Comfortable. Check in was very swift, tend to not like the self check in and self bag tag, but more and more airlines are going this way so have to accept it - it was very quick so no problem there. ",Couple Leisure,Economy Class,Heathrow to San Francisco,February 2017,4.0,5.0,5.0,5.0,yes,A380-800,5.0,5.0,
1096,1096,3.0,"""British Airways is a rip off""",Robert Watson,8th September 2018,True,"I have BA silver membership. This promises fast track, choice of seats at booking, priority boarding and lounge access. I would advise all travellers that in reality these benefits are intermittent at best and unavailable at worst. The majority of the time my seat choice is changed, fast track at Heathrow is slower than the normal queue, and the lounges so overcrowded that it's sometimes hard to find a seat. The Iberia lounge at Madrid is equality poor, with stale tortilla the only offering at breakfast. British Airways is a rip off. I have uploaded by way of example a seat map of their A321 and seat 22c. This seat is not extra legroom and is cramped like the others. Yet on BA.com they will try to sell it as an exit seat as if it has extra legroom. I recently travelled on Virgin Atlantic and Cathay Pacific in business and economy and it really struck me just how abysmal BA/Iberia are by comparison.",Business,Economy Class,London to Madrid,July 2018,2.0,3.0,2.0,2.0,no,A320,1.0,,
2321,2321,8.0,"""the flight was satisfactory""",Albert Wong,12th April 2016,False,"Hong Kong to London with British Airways. I normally prefer aisle seats for long haul but this flight I chose a window seat, because it was an A380 flight on the upper deck. The upper deck situation means that I can take advantage of a window side drawer where apart from easy storage I can also put something on top. And Premium Economy offers just enough space to move out if needed. BA's Premium Economy service is good, the food is not the same for economy as in the case of some airlines, and the seat acceptably comfortable. BA is generous on alcoholic drinks though I do not take advantage of it. But the food is not very good. All in all the flight was satisfactory.",Solo Leisure,Premium Economy,HKG to LHR,March 2016,4.0,4.0,3.0,5.0,yes,A380,3.0,3.0,
2102,2102,1.0,"""rude and uncaring""",S Graham,21st September 2016,False,"London Heathrow to Budapest. It seems British Airways has lost so much of its traditional customer base that it's turning into a budget airline at scheduled prices. I only fly with them now when tour operators give me no choice. Ground staff were the now usual bunch of jobs worths, refusing to change my seat because ""that's what the computer has allocated"". Boarding was the now expected shambles. The no checked baggage fare option results in so many oversized bags being carried on board that overhead space for small cases is at a premium. On this flight several were removed from lockers, and the owners rudely told to put them under the seat in front, thus severely restricting leg room. Cabin staff were rude and uncaring. Again now the norm for BA. The in flight snack was a soggy croissant and a small plastic cup of tepid stewed tea. The seats are very narrow, allowing minimal room a no space between neighbouring passengers.",Solo Leisure,Economy Class,LHR to BUD,September 2016,2.0,1.0,1.0,1.0,no,,1.0,,
1432,1432,3.0,"""how disappointed I was""",M Seward,19th October 2017,False,"London Heathrow to Bangkok. Was looking forward to eventually flying with British Airways after flying reguarly to Bangkok with other airlines - how disappointed I was. A low budget product with a premium price. I will never again use this airline, its the most costly option (usually) for my regular journey to Thailand, but it ranks the lowest of all the airlines I've used on this route in past 30 trips. Seatback screen so small and of poor quality, service is dreadful, seats are old with no powerpoints, no wifi on board. Best part of the trip was getting off. Absolutely shameful for a national carrier of the UK. Lower your costs BA as you really are budget - go fly with any of the Gulf airlines or a vast majority of Europe's best, BA are nowhere near good enough. Current price almost a 3rd more than the other 2 direct flights (EVA and Thai) to Bangkok and British Airways is only half as good as those.",Solo Leisure,Economy Class,London Heathrow to Bangkok,October 2017,2.0,2.0,2.0,2.0,no,Boeing 777,1.0,1.0,
2259,2259,1.0,"""outrageous red tape""",T Brettel,20th May 2016,False,"London City to Glasgow with British Airways. Outrageous red tape. Flight delayed to Glasgow so asked if I could go on the earlier flight (no baggage etc.) ""Sorry madam, there are empty seats, but the time of sales has passed so we cannot put you on the earlier flight that leaves in 30 minutes"". Other airlines let you fly standby except for British Airways. They delay a flight and won't switch you to an earlier flight that has space due to ridiculous red tape. This isn't the first time that this has happened. Worst customer service ever - just pure laziness. Anytime I have the option, I will be flying a different airline.",Business,Economy Class,LCY to GLA,May 2016,1.0,1.0,1.0,1.0,no,,,,
307,307,3.0,"""I still found it underwhelming""",L Tran,25th September 2022,True,"The check-in process was smooth. I got access to the IGA Lounge which was nice, but not as nice has the Turkish Airlines Lounge. On board was what all this flight was about. This was my first time flying Intra-European Business Class, and though I was well prepared, I still found it underwhelming. First, the seat is just a normal economy seat, with the middle seat blocked off. There is no personal IFE, so basically no entertainment for a 3-hour flight. Meal service was very slow, and by the time it reached half of the business class cabin, one of the 2 choices ran out, plus the meal was not as good as the economy meal I got on my Turkish Airlines flight a few days ago. I could see that staff did their best, but since there were 32 business class passengers on a single aisle aircraft with a small galley, there was so much they could do. Also, the 32 passengers shared one single WC, meaning a long line for the bath room, something I have rarely seen in business class. Arrived at LHR, we did not get a contact gate, but the thing was that there was no bus either, and the crew announced that they had no idea when the bus would come. It finally came, of course, and the delay was more on the airport than the airline, but since BA is the main operator at Heathrow T5, such things will affect their reputation.",Solo Leisure,Business Class,Istanbul to London Heathrow,September 2022,1.0,3.0,3.0,2.0,no,A320-200,2.0,1.0,
2580,2580,3.0,"""Business seats are horrid""",Stephen Riches,12th November 2015,False,"Roundtrip with British Airways from Bangkok to London in Club World. Really the only good thing to talk about is the baggage allowance. The seats are horrid. Cramped and you feel like you're in a coffin if you have the backward-facing window seats. It's unbelievably cramped and when I pay more than 4x the economy ticket, I expect a place to keep a water bottle when the seat is in bed-mode. The main meal outbound was not heated and had to be returned.  The pre-ordered beef on the inbound was dry. Changed it for the cold King prawn salad with couscous only to be told it was actually chicken. The bathrooms are hideous and there's no distinction between economy and business. Blocked washbasin, tissue fibres all over the place, stained walls and peeling finishes. Crew outbound were older and very pleasant. Inbound was a much younger crew and only one (Spanish lady) was truly aware of passenger needs. The rest were more intent on getting to Bangkok to party than to serve passengers with a smile. Boarding at LHR they were all in the galley blocking access to the other side of the cabin, chattering to each other and not one welcome or eye-contact after entering the door. The Club Word lounge meal offerings at T5 were abysmal. More like a school canteen. If anyone from BA reads these opinions, then please do something about your dreadful IFE. It's archaic and that's being polite. Fuzzy, small screens and if you choose a movie with subtitles, they're illegible. ",Business,Business Class,BKK to LHR,November 2015,1.0,2.0,4.0,3.0,no,Boeing 777-200,2.0,1.0,
208,208,1.0,"""a horror show of incompetence""",R Worton,12th March 2023,True,"The usual shambolic unfolding that BA has now unfortunately been come to known for. We had a long weekend flight booked to Munich that was supposed to be departing on 9th February at 19:55. This happened to be our first flight with our newborn (3 month old) daughter. It turned out to be a horror show of incompetence. Just under 3hrs before scheduled departure, the original 9th February flight was cancelled. We received an email as we were boarding the Heathrow express. I’d booked a day of holiday off work for this trip. We ended up getting doing a round trip to Paddington instead. On the way back from the cancelled flight, both me and my wife tried calling BA. Despite one of us having silver membership (possibly the largest joke of a membership currently out there), I took us nearly 45 minutes to speak to someone who could help. I believe BA outsource their call centres and so you end up talking to people who are following a script. The result is that you might as well be speaking to an AI rather than a human. We often received the response similar to ‘computer says no’. If this is the service level for silver members I can’t imagine what a regular punter has to put up with. When the phone originally connected to a person, I had to wait 5 minutes as his computer booted up. - BA then proceeded to auto-book us onto a new flight for the next day but going to a different destination. Our original flight was to Munich and the auto-booked replacement flight was to Salzburg. When asking the robot at the BA call centre why they booked us on a replacement flight to a location 135km apart, they couldn’t understand my frustration.  Eventually, someone was able to book us onto a flight the following day at 17:00. Not ideal as I’d wasted a valuable day off work and the hotel wouldn’t refund us or move our booking, but at least we were going to Munich and not Salzburg. - The day of the new flight came round and, this time, we managed to get all the way to the check in desk. Upon arriving at the check in desk, we were told that our rebooked flight had just been cancelled 4 minutes earlier. No email. No text. No notification ever arrived from BA to tell us that the flight had been cancelled. Incomprehensible as to how this could have possibly happened. The check in person said I should get on the app to rebook. At this point, I didn’t know whether to explode with anger or cry. Luckily, another check in person had an ounce of sympathy and explained to the useless check in person that he could actually rebook us. We were booked onto another flight later that evening (19:55 - BA0958). Unfortunately, that meant 5hrs in the grotty lounge with a 3 month old baby. It appears that everyone now has access to a lounge and so there’s really no difference between the lounge and a hostel, other than you get free stuff in the former. This was not a pleasant experience. We did eventually arrive in Munich and, despite asking, didn’t get our push chair/stroller delivered to the front of the plane. The plane was a characteristically BA dumping ground - they used to give you sanitising wipes so you could clean your seat and tray table down but they seemed to have cut back on this service too. All in all, another shocking BA service. A lost day of holiday and not an an ounce of empathy/sympathy/understanding at all from any of the employees I interacted with.",Family Leisure,Economy Class,London Heathrow to Munich,March 2023,1.0,1.0,1.0,1.0,no,,1.0,,
2929,2929,5.0,British Airways customer review,J Brown,11th June 2015,False,"Club World from LHR-ORD. Busy flight on the ageing 747-400. Seats comfortable as always and a calm cabin on the Upper Deck. Only fault were the crew. They seemed just out of training school. Although very pleasant and friendly, the two made quite a few mistakes with orders and drinks and appeared nervous. Flight left and landed on
time. An all together good experience.",Business,Business Class,LHR-ORD,,4.0,2.0,,3.0,yes,Boeing 747-400,3.0,4.0,
1726,1726,9.0,"""Excellent service and food""",E Rubin,16th April 2017,False,"A business class sale convinced me to give it a try on a trip home from Sofia to Boston. I have to say that my wife, daughter and I were completely pleased, somewhat surprisingly so. Quick efficient checkin at the business class counter in Sofia. Decent contract lounge. Excellent service and food onboard both the Club Europe flight to London and Club World flight to Boston. Terrific flight attendants, and much better food than I am used to on United, LH or Austrian. I have a gluten allergy and need to order special meals. All three gluten free meals on this trip were among the best I have had. All three included flavorful sauces, which is something LH always omits from its special meals. The Galleries lounge in the B satellite terminal was excellent. Not as much food on offer as in the LH and OS lounges, or even the new UA lounge at Heathrow T2, but it was quiet and comfortable. And we really liked the quirky Club World business cabin. The middle section is great for couples, every seat has a storage drawer and the entertainment system was solid. There were four toilets for business class. My only complaint: the outrageous policy that required me to pay to reserve seats together in business class. As the fight was not full, I probably could have gotten seats together at checkin, but I did not want to take the risk, and BA got additional revenue, which is obviously why they do it.",Family Leisure,Business Class,Sofia to Boston via London,April 2017,5.0,5.0,5.0,5.0,yes,Boeing 777,5.0,4.0,
1560,1560,6.0,"""pre-selected seats retained""",E Smyth,6th July 2017,False,"Gatwick to Mauritius in business class. The check in and lounge were of a reasonable standard and the new lounge at Gatwick is nice. Boarding was fine and pre-selected seats retained. The layout and features were standard of club world and service of the level expected. The club kitchen was fairly limited in its offerings. Half the entertainment did not work properly if at all. In short acceptable service. Flight left and arrived on time. However, BA should take note that for this route, Emirates were less expensive and would have offered an A380 offering on both legs. The reason for choosing BA was the fact it was a direct service.",Family Leisure,Business Class,Gatwick to Mauritius ,July 2017,3.0,3.0,4.0,3.0,yes,Boeing 777-200,3.0,2.0,
23,23,5.0,"""2½ hours before the bags finally arrived"" ",J Horner,16th October 2023,True,"Our BA flight from Porto to London Heathrow T5 was operated by Finnair using a Finnair plane and crew. This had been advised by BA shortly after booking, with the option to change flights if we preferred. Although the business class cabin was of a similar layout to BA Club Europe, i.e. with the middle seat kept free, my wife and I felt the seats were more comfortable and the legroom slightly better. Service was good on board and the meal was very tasty (we chose the beef cheeks). All was good until we landed at Heathrow! Although we passed through passport control without delay, once we were at the designated baggage reclaim, we just waited and waited! After an hour and ten minutes I went to the BA baggage counter to ask what was going on. They seemed unaware of an issue, but said they would find out! Over the next hour or so various other passengers also requested information and despite various announcements and a list of different excuses it was almost 2½ hours before the bags finally arrived. Frustrating to say the least. I subsequently complained to BA, but after 4 weeks there has been no explanation just the automated message from customer services ‘we are experiencing exceptionally high volumes’. This response says a lot!",Couple Leisure,Business Class,Porto to London ,September 2023,4.0,5.0,1.0,4.0,no,A320,4.0,,
1656,1656,6.0,"""not improving where they should""",Ivan Oscar Sterza,13th May 2017,False,"London to Santiago de Chile. Surprisingly pleasing flight onboard Boeing 787, decided to give it a try to a rear facing business class window seat and discovered the B787 is - or looks - far lighter and wider than any B777 I've been travelling on (could be larger windows or the fuselage shape which makes the ""cocoon"" look less cramped). Even the seat looks wider, while the IFE screen is wider with a higher resolution. The odd ""ying-yang"" layout is slightly better on Boeing 787 as the central rows do not have the honeymoon seats, therefore you won't share such a narrow space with a stranger in case you end up there. So first impression better than usual; unfortunately the soft product remains way below par (I pre-ordered the main dish of the meal which this time was actually available, but the beef was overcooked and chewy), I will never stop mentioning that the amenity kit is simply ridiculous - sort of a blue shoe bag, too small to fit shoes though. The crew very friendly but slightly less attentive than usual. Overall the experience was better than usual - mainly thanks to a newer, quieter aircraft - but BA is not improving where they should, in those details that make business class something worth EUR3,000 spent. Still no wi-fi on BA. Not commenting the ying-yang layout, which remains a mystery to me (who approved such a nonsense?).",Business,Business Class,London to Santiago de Chile,May 2017,3.0,4.0,3.0,3.0,no,Boeing 787,2.0,4.0,
642,642,2.0,"""offer a kids free zone""",JM Dixte,17th January 2020,True,"London to Bangkok. It's not what it used to be but most importantly, it does not deliver what it promises any longer.  Disappointing food, outdated and uncomfortable seats, appalling baggage handling at LHR, and  mediocre crew service onboard. The customer service online is just as bad. My most recent experience was early January 2020 when they put me next to a couple with a newborn baby in Club World on an overnight flight from LHR to BKK. Baby screams, could not sleep and as the cabin was full, they could not move me. The couple was very nice, apologetic and we just had to bear the 12 hours long haul flight together. However, my dealings with customer service was appalling. When is BA going to offer a kids free zone in Club World for people who need to work or sleep?",Business,Business Class,London to Bangkok,January 2020,2.0,1.0,2.0,2.0,no,,1.0,,
171,171,5.0,"""Abysmal service""",Patrick Sparks,18th April 2023,False,"At Copenhagen the most chaotic ticket counter assignment in the history of airlines. Time on board never changed, no fixed counter at Airport. Abysmal service that needs vast improvement here",Couple Leisure,Economy Class,Copenhagen to London,April 2023,1.0,4.0,2.0,2.0,no,,2.0,,
2909,2909,1.0,British Airways customer review,Karen Lolley,17th June 2015,False,"After flying many, many, times, I can honestly say this was the worst plane I have ever flown in. The aircraft was old and falling apart. During the flight the handle of the toilet flew off, one of the overhead bins was loose and the table holding the bassinette was broken. The carpet was threadbear and the equipment was being held together with tape. They did not have enough food, and nothing available for me (I have a nut allergy), the food that was served, was not fit for human consumption. The toilets were not cleaned during the whole flight (13 hours), and as a result the smell from there was disgusting. The rubbish bin was overflowing with waste, which included soiled nappies. The only time we saw the cabin crew was when they were serving food. They looked very scruffy, not what you would expect of a BA cabin crew. All in all a very unpleasant flight. I travel to Asia every year and will ensure I never fly BA on this route again.",Couple Leisure,Economy Class,Bangkok to Heathrow,May 2015,1.0,1.0,1.0,1.0,no,777-200,1.0,1.0,
594,594,3.0,"""use the travel credit by May 2020""",A Lee,23rd March 2020,False,"I booked my flights to the UK in May 2019 and had to cancel our trip to the UK on March 12, 2020 .. 4 days prior to leaving because a travel ban was going to start on March 16, 2020 and because I am older and have pre-existing health conditions, my doctor asked me to postpone our trip. The British Airways customer care associates I talked with were great and caring and they were able to issue us travel credit for tickets that were non-refundable. Now the problem is, I need to rebook and use the travel credit by May 2020 for travel to the UK by May 2021 or lose all the credit from our trip. How can I make travel arrangements by May 2020 with the coronavirus out of control throughout the world and travel bans in place? I understand BA has policies in place, but I cannot understand how you can expect someone to make travel arrangements while the world is dealing with COVID-19. I feel this timeline is unfair to any consumer who has trust with their preferred airline, my preferred airline is still British Airways. British Airways needs to reevaluate their policies during a world crisis....and make adjustments as needed to be fair to consumers who trust them. Whether a consumer has purchased refundable or non-refundable tickets should not matter, because forcing a consumer to rebook while a world pandemic is happening and not adjusting your policies to the situation can change your loyal customers, remember, there are many other airlines out there to choose from. The coronavirus is something that no one has any control of. I guess the bottom line is I think British Airways needs to put some common sense to their policy. I want to rebook and travel, but I am hesitant to this at this time. Hopefully, May 2020 this pandemic is over for all of us. ",Couple Leisure,Economy Class,Seattle to Heathrow,March 2020,,,,5.0,no,Boeing 777,,,
1465,1465,6.0,"""service is similar to Eurowings""",A Wharton,19th September 2017,False,"Heathrow to Bilbao. Boarding of the flight at Heathrow was very good , the flight was on time and the plane was clean. Frequent flyers boarded first and the rest soon followed. From then on the service was very similar to a Easy Jet or Eurowings flight. The 3 crew member's in economy passed through the cabin selling M&S sandwiches , snacks and coffee. The flight out of Bilbao was delayed by a late incoming aircraft, information on the delay was a little slow in coming from the gate agent. However the crew were very efficient loading the flight when it finally landed. The flight crew also managed to shave 15 minutes off the flight time too. However the service onboard is similar to Eurowings. Both flights were safe and competent. But the actual flight experience was lacking and in future I will consider Easyjet or similar as they offer the same level of service for less money.",Solo Leisure,Economy Class,Heathrow to Bilbao,September 2017,3.0,2.0,4.0,3.0,no,A320,,,
332,332,2.0,"""I have not received my refund""",Lilian Nelson,27th July 2022,True,"Refund process is non responsive I have been following up on my refund since October, 2021 which is 9 months now. I have contacted the customer service deck and sent mails to [email protected] several times and all they tell me is it’s been processed. British Airways customer service is bad and needs to be worked on. Till today I have not received my refund. I am just wondering what is happening!",Solo Leisure,Economy Class,Accra to London,November 2021,,,1.0,1.0,no,,,,
